"","NBC.mean","MBC.mean","Class"
"AMPL131229",0.785339481206882,0.437588841635324,"Naive B-cell high"
"AMPL131238",0.482996753073808,0.694115641987088,"Memory B-cell high"
"AMPL131242",0.228946753296942,0.595629107267532,"Memory B-cell high"
"AMPL131243",0.234345433945452,0.191379709475715,"Naive B-cell high"
"AMPL131255",0.260903546190913,0.310415287985445,"Memory B-cell high"
"AMPL131256",0.070579744953994,0.103030710238915,"Memory B-cell high"
"AMPL131259",0.888396423473492,0.494110617548169,"Naive B-cell high"
"AMPL131261",0.494654485667485,0.11626725312328,"Naive B-cell high"
"AMPL131263",0.904620457800567,0.575915298128116,"Naive B-cell high"
"AMPL131269",0.739609649864235,0.136417760059569,"Naive B-cell high"
"AMPL131273",0.093868422914666,0.101934739541959,"Memory B-cell high"
"AMPL131282",0.77375405027575,0.268234707599546,"Naive B-cell high"
"AMPL131283",0.885534229831689,0.800447052783528,"Naive B-cell high"
"AMPL131284",0.906644105159949,0.851727378581383,"Naive B-cell high"
"AMPL131291",0.181496785133243,0.11479837777093,"Naive B-cell high"
"AMPL131292",0.057300931571967,0.059066566171853,"Memory B-cell high"
"AMPL131298",0.854140074478691,0.597317799394669,"Naive B-cell high"
"AMPL131300",0.227887264932572,0.343253254280007,"Memory B-cell high"
"AMPL131301",0.462770750198433,0.204987057301587,"Naive B-cell high"
"AMPL131303",0.183106191733307,0.05626287526973,"Naive B-cell high"
"AMPL131304",0.071824552505764,0.075770030432608,"Memory B-cell high"
"AMPL131307",0.702839887892876,0.092273007183265,"Naive B-cell high"
"AMPL131308",0.817084205911417,0.652498448129234,"Naive B-cell high"
"AMPL131310",0.089793299676273,0.092286590320845,"Memory B-cell high"
"AMPL131311",0.068106353157962,0.246013968941307,"Memory B-cell high"
"AMPL131312",0.069487010120806,0.09489353931674,"Memory B-cell high"
"AMPL131318",0.788768097622993,0.747130730704845,"Naive B-cell high"
"AMPL131320",0.386338889768424,0.389790649474879,"Memory B-cell high"
"AMPL131337",0.352590976108906,0.352841764998805,"Memory B-cell high"
"AMPL131338",0.853901604175613,0.456993124003818,"Naive B-cell high"
"AMPL131344",0.755751624361905,0.588525156684279,"Naive B-cell high"
"AMPL131346",0.880547778708568,0.436785472711794,"Naive B-cell high"
"AMPL131350",0.536835355354451,0.084335597663458,"Naive B-cell high"
"AMPL131355",0.472833803808955,0.254526251237773,"Naive B-cell high"
"AMPL131369",0.164506593843564,0.115944772766277,"Naive B-cell high"
"AMPL199863",0.849704033848994,0.12651772872803,"Naive B-cell high"
"AMPL199892",0.694066144612686,0.886439048358617,"Memory B-cell high"
"AMPL199921",0.610763452771783,0.316431886382642,"Naive B-cell high"
"AMPL199928",0.534486107857776,0.354378145760781,"Naive B-cell high"
"AMPL199939",0.113810598274921,0.101061261972232,"Naive B-cell high"
"AMPL199941",0.876066662634971,0.476386255456274,"Naive B-cell high"
"AMPL199951",0.326289197968156,0.376107544188534,"Memory B-cell high"
"AMPL199957",0.873370038210266,0.602220474688735,"Naive B-cell high"
"AMPL199965",0.864757899372424,0.501026961867559,"Naive B-cell high"
"AMPL199982",0.893492642077644,0.201755627551487,"Naive B-cell high"
"AMPL199984",0.10100188165872,0.378003021218685,"Memory B-cell high"
"AMPL200000",0.6985422811528,0.8035263233745,"Memory B-cell high"
"AMPL200009",0.675685713648952,0.209713004201947,"Naive B-cell high"
"AMPL200014",0.867282491752309,0.438258793406599,"Naive B-cell high"
"AMPL200021",0.922924068985728,0.823173583175062,"Naive B-cell high"
"AMPL200043",0.685179496738218,0.4782182123964,"Naive B-cell high"
"AMPL200045",0.587536136062512,0.603398636421923,"Memory B-cell high"
"AMPL200057",0.839335459542912,0.761365511422123,"Naive B-cell high"
"AMPL200081",0.568559506395055,0.282977346153763,"Naive B-cell high"
"AMPL200083",0.403701270594144,0.208337224871885,"Naive B-cell high"
"AMPL200093",0.883513718960149,0.411193811488383,"Naive B-cell high"
"AMPL200104",0.57794297640181,0.182554110009426,"Naive B-cell high"
"AMPL200127",0.069455644211838,0.06216125084132,"Naive B-cell high"
