"","S1.mean","S2.mean","S3.mean","S4.mean","GC.mean","PB.mean","NBC.mean","MBC.mean","dropout","Special"
"AMPL130995",0.133814335987365,0.236234545970781,0.287356597281951,0.291373460600047,0.489803895249089,0.371173169162186,0.324515323041561,0.669837621953959,0.160522022838499,"Normal"
"AMPL130997",0.770586128745909,0.757004039317842,0.633529526456698,0.652700438790031,0.163353496626804,0.301219107086523,0.38647398573397,0.429722082975203,0.0559543230016313,"Normal"
"AMPL131005",0.839767632701513,0.206019737816616,0.194167775633949,0.200557480475493,0.542506311116492,0.405169425570345,0.360906518241371,0.701500282852459,0.110766721044046,"Normal"
"AMPL131011",0.817610497546906,0.84381916455163,0.821514662412141,0.859450429761393,0.48469616723228,0.381989717453289,0.355105493307124,0.723418290002383,0.0154975530179445,"Normal"
"AMPL131013",0.287800222621534,0.509924097167886,0.51360176700318,0.539410276459922,0.466691121945391,0.593497168165699,0.669649502890932,0.444571023403445,0.0401305057096248,"Normal"
"AMPL131016",0.257037785441528,0.313688679161607,0.320695075455628,0.343261175138407,0.083973595473511,0.119431595529582,0.13821916906558,0.120393053683444,0.159216965742251,"Normal"
"AMPL131020",0.914080701728774,0.854218182192683,0.841496570279242,0.861644466455318,0.65676117318813,0.46220415401319,0.381377852426295,0.845458082476455,0.0494290375203915,"Normal"
"AMPL131025",0.446424607814911,0.434885846769925,0.422996373461615,0.43525338471587,0.720432332699809,0.747116737546116,0.763470621471242,0.708065279484193,0.0435562805872757,"Normal"
"AMPL131028",0.936424675027406,0.94168187289127,0.942522094953689,0.941962830937963,0.856373023853357,0.89452832813704,0.928268825273977,0.817386474664328,0.099021207177814,"Normal"
"AMPL131040",0.944782347362621,0.949591127610451,0.936935164515021,0.927427110580983,0.055302179141806,0.074217772914233,0.080023048434319,0.065950234080815,0.0187601957585645,"Normal"
"AMPL131042",0.666543791025018,0.649455861711881,0.637457873390986,0.658253286275487,0.386259221298708,0.278433100258384,0.238389219241053,0.425949291028929,0.0368678629690049,"Special"
"AMPL131043",0.480855775638117,0.485658100992997,0.445010109546725,0.471070617791823,0.728049922639642,0.738526077688684,0.766628964115356,0.682504077649785,0.0120717781402936,"Normal"
"AMPL131044",0.851014714700926,0.841088065356358,0.822441729169558,0.844339316309706,0.544757533944965,0.674062221926706,0.738593638631419,0.644942166577084,0.133278955954323,"Normal"
"AMPL131045",0.907947910983033,0.940406718957588,0.92993155937491,0.942458344727272,0.811515057182066,0.876683835377222,0.913073563035148,0.724349425612093,0.0616639477977161,"Normal"
"AMPL131046",0.930853582884564,0.930867753348569,0.917824132020513,0.928381961438989,0.775600331691273,0.866955186622405,0.90131238511012,0.773872670018811,0.000489396411093024,"Normal"
"AMPL131050",0.915590435843206,0.871663947789171,0.611250438665398,0.521193234283038,0.088493035464545,0.290636385765256,0.395580832226612,0.094893796385896,0.00391517128874386,"Normal"
"AMPL131051",0.851448386977477,0.893797057651052,0.899687232223463,0.92422276505941,0.649287502687971,0.805896461291453,0.882297767199794,0.527136668365325,0.00358890701468184,"Normal"
"AMPL131059",0.697523994553462,0.489043840475131,0.440601859951261,0.465966556369237,0.323137459276459,0.32064158663284,0.326366394863379,0.361993968491361,0.220228384991843,"Normal"
"AMPL131061",0.904667058103671,0.896475960137358,0.780684562459296,0.610049375490606,0.086594318435626,0.385613365527962,0.556915351416055,0.102799960667874,0.0213703099510604,"Normal"
"AMPL131062",0.659790805281622,0.579475633129773,0.53416344779248,0.574616614010781,0.170969491411396,0.279562013267183,0.335541854766932,0.062442082801382,0.0182707993474714,"Normal"
